pref,name,address,tel
香川,ながお,さぬき市前山940-12,0879-52-1022
香川,香南楽湯（こうなんらくゆ）,高松市香南町横井997-2,087-815-8585
香川,源平の里むれ,高松市牟礼町原631-7,087‐845‐6080
愛媛,佐田岬半島ミュージアム（旧 瀬戸農業公園）,西宇和郡伊方町塩成乙293,0894-21-3400
愛媛,マイントピア別子,新居浜市立川町707-3,0897-43-1801
愛媛,日吉夢産地,北宇和郡鬼北町大字下鍵山54,0895-44-2340
愛媛,ひろた,伊予郡砥部町総津162-1,089-969-2070
愛媛,ふたみ,伊予市双海町高岸甲2326,089-986-0522
愛媛,内子フレッシュパークからり,喜多郡内子町内子2452,0893-43-1122
愛媛,伊方きらら館,西宇和郡伊方町九町越3-179-1,0894-39-0230
愛媛,きなはい屋しろかわ,西予市城川町下相1008-1,0894-82-1100
愛媛,みしょうMIC（みっく）,南宇和郡愛南町御荘平城4296-1,0895-72-1115
愛媛,今治湯ノ浦温泉,今治市長沢甲252-2,0898-47-0990
愛媛,虹の森公園まつの,北宇和郡松野町大字延野々1510-1,0895-20-5006
愛媛,広見森の三角ぼうし,北宇和郡鬼北町大字永野市138-6,0895-45-3751
愛媛,伯方S・Cパーク,今治市伯方町叶浦甲1668-1,0897-72-3300
愛媛,今治市多々羅しまなみ公園,今治市上浦町井口9180-2,0897-87-3866
愛媛,しまなみの駅御島,今治市大三島町宮浦3260,0897-82-0002
愛媛,小松オアシス,西条市小松町新屋敷乙22-29,0898-76-3111
愛媛,みかわ,上浮穴郡久万高原町上黒岩2840-1,0892-56-0330
愛媛,清流の里ひじかわ,大洲市肱川町宇和川3030,0893-34-2700
愛媛,よしうみいきいき館,今治市吉海町名4520-2,0897-84-3710
愛媛,風早の郷 風和里,松山市大浦119,089-911-7700
愛媛,みま,宇和島市三間町務田180-1,0895-58-1122
愛媛,小田の郷せせらぎ,喜多郡内子町寺村251-1,0892-52-3023
愛媛,うわじま きさいや広場,宇和島市弁天町１-318-16,0895-22-3934
愛媛,霧の森,四国中央市新宮町馬立４４９１－１,0896-72-3111
愛媛,八幡浜みなっと,八幡浜市沖新田1581-23,0894-21-3710
愛媛,津島熱田温泉（旧 津島やすらぎの里）,宇和島市津島町高田甲８３０-１,0894-62-5778
愛媛,どんぶり館,西予市宇和町稲生118,0892-21-3400　0892-21-3445
愛媛,天空の郷 さんさん,上浮穴郡久万高原町入野1855-6,089-968-0636
愛媛,なかやま,伊予市中山町中山子271番地,
高知,大杉,長岡郡大豊町杉743-1,0887-72-1417
高知,すくも,宿毛市小筑紫町田ノ浦1244-10,0880-79-3321
高知,大月,幡多郡大月町弘見2610,0880-73-1610
高知,四万十（しまんと）大正,高岡郡四万十町大正16-2,0880-27-0088
高知,ゆすはら,高岡郡檮原町太郎川3785,0889-65-1126
高知,南国風良里（なんこくふらり）,南国市左右山102-1,088-880-8112
高知,美良布（びらふ）,香美市香北町美良布1211,0887-52-9708
高知,布施ヶ坂,高岡郡津野町船戸654-1,0889-62-3225
高知,キラメッセ室戸,室戸市吉良川町丙890-11,0887-25-3500
高知,土佐和紙工芸村,吾川郡いの町鹿敷1226,088-892-1001
高知,土佐さめうら,土佐郡土佐町田井448-2,0887-82-1680
高知,大山,安芸市下山1400,0889-40-0004
高知,かわうその里すさき,須崎市下分甲263-3,0880-22-8848
高知,あぐり窪川,高岡郡四万十町平串284-1,0880-83-1103
高知,木の香（このか）,吾川郡いの町桑瀬225-16,0887-57-7122
高知,めじかの里土佐清水,土佐清水市三崎西シリソメ671-1,088-850-5300
高知,やす,香南市夜須町千切537-90,0887-32-1077
高知,633美の里（むささびのさと）,吾川郡いの町上八川甲1160-2,0880-43-3113 （物産館）
高知,田野駅屋,安芸郡田野町1431-1,
高知,ビオスおおがた,幡多郡黒潮町浮鞭953-1,
高知,四万十とおわ,高岡郡四万十町十和川口62-9,0880‐28‐5421
高知,なぶら土佐佐賀,幡多郡黒潮町佐賀1350,0880-55-3325
高知,よって西土佐,四万十市西土佐江川﨑2410-3,0880-52-1398
高知,なかとさ,高知県高岡郡中土佐町久礼8645-2,0889-59-9090
高知,まきのさんの道の駅・佐川,高知県高岡郡佐川町加茂2711-1,0120-117-188
高知,東洋町,高知県安芸郡東洋町白浜88-1,0887-23-9955
